range_start,range_end,high,low
0,3,0.5,0.5
92,98,0.63,0.37
198,206,0.76,0.24
345,357,0.89,0.11
4,10,0.51,0.49
99,106,0.64,0.36
207,215,0.77,0.23
358,374,0.9,0.1
11,17,0.52,0.48
107,113,0.65,0.35
216,225,0.78,0.22
375,391,0.91,0.09
18,25,0.53,0.47
114,121,0.66,0.34
226,235,0.79,0.21
392,411,0.92,0.08
26,32,0.54,0.46
122,129,0.67,0.33
236,245,0.8,0.2
412,432,0.93,0.07
33,39,0.55,0.45
130,137,0.68,0.32
246,256,0.81,0.19
433,456,0.94,0.06
40,46,0.56,0.44
138,145,0.69,0.31
257,267,0.82,0.18
457,484,0.95,0.05
47,53,0.57,0.43
146,153,0.7,0.3
268,278,0.83,0.17
485,517,0.96,0.04
54,61,0.58,0.42
154,162,0.71,0.29
279,290,0.84,0.16
518,559,0.97,0.03
62,68,0.59,0.41
163,170,0.72,0.28
291,302,0.85,0.15
560,619,0.98,0.02
69,76,0.6,0.4
171,179,0.73,0.27
303,315,0.86,0.14
620,735,0.99,0.01
77,83,0.61,0.39
180,188,0.74,0.26
316,328,0.87,0.13
736,9999,1.0,0.0
84,91,0.62,0.38
189,197,0.75,0.25
